",""PARAMETER_CODE"",""PARAMETER_XVALUE"",""PARAMETER_YVALUE"""
"90,""DLC"",""8.000000"","""""
"90,""DTSMTB_01"",""0.000000"",""0.000000"""
"90,""DTSMTB_02"",""30.000000"",""30.000000"""
"90,""DTSMTB_03"",""45.000000"",""30.000000"""
"90,""DTSMTB_04"",""0.000000"",""0.000000"""
"90,""DTSMTB_05"",""0.000000"",""0.000000"""
"90,""DTSMTB_06"",""0.000000"",""0.000000"""
"90,""DTSMTB_07"",""0.000000"",""0.000000"""
"90,""DTSMTB_08"",""0.000000"",""0.000000"""
"90,""DTSMTB_09"",""0.000000"",""0.000000"""
"90,""DTSMTB_10"",""0.000000"",""0.000000"""
"90,""DVSEND"",""2.000000"","""""
"90,""IDSL"",""2.000000"","""""
"90,""TBASEM"",""0.000000"","""""
"90,""TEFFMX"",""30.000000"","""""
"90,""TSUMEM"",""110.000000"","""""
"90,""VERNBASE"",""14.000000"","""""
"90,""VERNDVS"",""0.300000"","""""
"90,""VERNRTB_01"",""-8.000000"",""0.000000"""
"90,""VERNRTB_02"",""-4.000000"",""0.000000"""
"90,""VERNRTB_03"",""3.000000"",""1.000000"""
"90,""VERNRTB_04"",""10.000000"",""1.000000"""
"90,""VERNRTB_05"",""17.000000"",""0.000000"""
"90,""VERNRTB_06"",""20.000000"",""0.000000"""
"90,""VERNSAT"",""70.000000"","""""
